name,price,old_price,discount,rating,brand,category
Remote Bluetooth Selfie Stick +Tripod Stand + Fill Light  Multiple Function,419.0,0.0,47%,76%,Generic,Phones & Tablets/Accessories/Selfie Sticks & Tripods/Tripods
Oraimo FreePods Lite ENC 40-hour Playtime Havybass True Wireless Earbuds,2000.0,0.0,20%,No rating,Oraimo,Phones & Tablets/Accessories/Bluetooth Headsets
Fashion Men's Long Sleeve Striped Shirt,539599.0,0.0,55%,76%,Fashion,Fashion/Men's Fashion/Clothing/Shirts/Casual Button-Down Shirts
ASHION 2024 Men's Casual Shoes Big Size  Sneakers 39-47,1190.0,0.0,49%,No rating,ASHION,Fashion/Men's Fashion/Shoes/Fashion Sneakers
Fashion Men Shoes Sneakers Sport Shoes Running Sneakers Casual Shoes  Welcome To Smark,999.0,0.0,48%,68%,Fashion,Fashion/Men's Fashion/Shoes/Fashion Sneakers
Fashion Men's Leather Shoes Business Casual Loafers-Brown,930.0,0.0,27%,62%,Fashion,Fashion/Men's Fashion/Shoes/Loafers & Slip-Ons
RichRipple Pro2+ Bluetooth Headsets Wireless Pods Pro Earpods Earphones,521.0,0.0,31%,No rating,RichRipple,Phones & Tablets/Accessories/Bluetooth Headsets
Fashion Men's Casual Shoes Loafers & Slip-Ons Sneakers,599699.0,0.0,54%,78%,Fashion,Fashion/Men's Fashion/Shoes/Loafers & Slip-Ons
Fashion 2024 Mens Casual Board Shoes Running Sneakers - White/Black,14311590.0,0.0,40%,76%,Fashion,Fashion/Men's Fashion/Shoes/Fashion Sneakers
GUIXIA  M10 Wireless Headset Bluetooth Earphone True Bass With Power Banc,399.0,0.0,43%,72%,Generic,Phones & Tablets/Accessories/Bluetooth Headsets
"6"" Ring Light Mirror For Selfie YouTube Video Phone Holder Stand Shooting With 3 Light Modes",512.0,0.0,52%,80%,Generic,Phones & Tablets/Accessories/Selfie Sticks & Tripods/Tripods
Fashion Men Shoes Sneakers Sport Shoes Casual Shoes Outdoor Shoes Running Shoes,9891099.0,0.0,47%,68%,Fashion,Fashion/Men's Fashion/Shoes/Fashion Sneakers
Genetic Earbuds Wireless Bluetooth Earpods Earphones Headsets Hifi Stereo White,415.0,0.0,45%,76%,Genetic,Phones & Tablets/Accessories/Bluetooth Headsets
Fashion Women Shoes Ladies Shoes For Women Shoe,584.0,0.0,46%,70%,Fashion,Fashion/Women's Fashion/Shoes/Fashion Sneakers
Fashion 2024 New Men's Outdoor Casual Trendy Sports Shoes - White,1499.0,0.0,34%,72%,Fashion,Fashion/Men's Fashion/Shoes/Fashion Sneakers
RichRipple Purple Metal Desktop Phones & Tablets Holder Foldable Stand,307.0,0.0,48%,86%,RichRipple,Phones & Tablets/Accessories/Mounts & Stands/Stands
